Feb 19th - Feb 25th
"Signature SELECT® Sparkling Water Beverage Liter. AriZona Tea 22-oz. can., , $0.79 ea member price"
"Gatorade, , $1.69 ea member price"
"Signature SELECT® or O Organics® Coffee, , $19.99 ea member price"
"Post Cereal Cereal 11 to 12-oz. Honey Bunches of Oats or 10 to 11-oz. Pebbles. Quaker Cap'n Crunch's or Life Cereal 10.3 to 12.6-oz. Crunch or 13-oz. Life., , $2.49 ea member price"
"Mt. Olive Pickles 24-oz. French's Mustard 12 to 20-oz., , $2.49 ea member price"
"Nissin Top Ramen Noodles, , $1.49 ea member price"
"Mission Street Taco Flour Tortillas, , $1.99 ea member price"
"Hershey's Party Size Bag Candy, , $12.49 ea member price"
"Tide Laundry Detergent 34-oz. Liquid or 16-ct. Pods. Gain 46-oz. Liquid or 16-ct. Flings., , $4.99 ea member price"
"Arm & Hammer Laundry Detergent 100.5 to 105-oz. Liquid. Powder Blast ct Paks, , $7.99 ea member price"
"White Claw, Firestone Walker or Topo Chico, , $16.99 ea member price"
"Jack Daniel's, , $16.99 ea member price"
"USDA Choice Boneless Beef Tri Tip Roast Marinated Black, , $7.99 lb member price"
"Open Nature® Assorted Lamb Shoulder Chops, , $6.99 lb member price"
"Jennie-O 93% Lean Ground Turkey, , $3.99 lb member price"
"Signature SELECT® Boneless Pork Top Loin Chops, , $6.99 lb member price"
"Signature SELECT® Gourmet Beef Burger Patties, , $10.99 ea member price"
"Rocky Free Range Air-Chilled Boneless Skinless Chicken Breasts, , $6.99 lb member price"
"Fresh Atlantic Salmon Whole Fillet, , $10.99 lb member price"
"Fresh Pacific Rockfish Fillet, , $6.99 lb member price"
"Jumbo Snow Crab Clusters, , $14.99 lb member price"
"Raw Head on Shrimp, , $5.99 lb member price"
"Red, Orange or Yellow Bell Pepper, , 2 for $4 member price"
"Large Fuji Apples, , $1.99 lb member price"
"Mango, , 4 for $5 member price"
"Hot House Tomatoes, , $2.99 lb member price"
"Lemon, , 10 for $10"
"Jumbo Artichoke, , 2 for $6 member price"
"Yellow Onion, , $1.49 lb member price"
"Organic Broccoli, , $2.99 ea member price"
"8-Piece Fried or Roasted Chicken, , $5 member price"
"Foster Farms Chicken Party Wings or Boneless Skinless Breast Fillets, Thighs or Tenders, , $5 ea member price"
"Wild Caught Lobster Tail 3-oz. Previously Frozen. Fresh Atlantic Salmon Portion 7-oz. Farm raised. Includes marinated portion., , $5.00 ea member price"
"Hass Avocado, , 3 for $5 member price"
"Fresh Sushi, , $5 ea member price"
