Product,Safeway Deal,Price
"boneless chicken wings general tso's, honey bbq or buffalo. or tater kegs original or bacon cheddar. or all american footlong sandwich",,$5 member price
signature select® pork shoulder country style ribs or steak,,$5 member price
waterfront bistro® colossal raw shrimp,,$5 lb member price
fuji apples,,$5 member price
fresh sushi made fresh daily. reser's american classics salad 48-oz.,,$5 ea member price
signature select® thick cut bacon,,$5 lb member price
cheesecake,,$5 ea member price
hass avocado,,3 for $5 member price
"crystal geyser alpine spring water 35-pack, 16.9-oz. snapple tea 6-pack, 16-oz. fiji artesian water 6-pack, 16.9-oz.",,$5 ea member price
o organics® popcorn 4 to 6-oz. sun chips 6 to 7-oz.,,2 for $5.00 member price
artezin zinfandel,,$5 ea member price
ghirardelli heart bag,,$5 ea member price
signature select® unsalted walnut halves & pieces,,$5 ea member price
bard valley dates,,$6.99 ea member price
stonefire naan crisps,,$3.99 ea member price
primo taglio® parmesan cheese,,starting at $4.49 ea member price
signature select® sandwich bread,earn 2x points,$2.99 member price
hostess bagged donettes,,$2.99 member price
waterfront bistro® popcorn shrimp or crispy calamari,,$6.99 ea member price
waterfront bistro® wild alaskan pink salmon fillets,,$5 ea member price
oscar mayer meat franks,,$3.99 ea member price
evergood sausage,earn 2x points,$5.99 ea member price
reser's main st. bistro side dish,,$5.49 ea member price
sukhi's gourmet entrée,,$9.49 ea member price
"chobani greek, less sugar or zero sugar yogurt",,10 for $10 member price
cacique cheese,,$3.99 member price
blue diamond almond breeze milk,earn 2x points,$5.49 member price
florida's natural lemonade or juice drink,,$2.69 member price
starbucks iced coffee,,$6.99 member price
daisy cottage cheese,,$3.99 member price
daisy sour cream squeeze,,$2.99 member price
signature select® biscuits,earn 2x points,2 for $7 member price
clover butter,,$5.99 member price
sargento string or stick cheese,earn 2x points,$4.99 member price
challenge spreadable butter 13 to 15-oz. kerrygold butter 7.5 to 8-oz.,,$5.29 member price
fage yogurt,,2 for $7 member price
white castle sliders,,$5.99 member price
my mochi ice cream,,$3.99 member price
marie callender's family meal,,$7.49 member price
jimmy dean breakfast bowl,,$3.99 member price
earthbound farm frozen fruit,,$10.99 member price
delizza cream puffs 13.2-oz. eclairs 14.8-oz.,,$6.49 member price
signature select® frozen potatoes,,2 for $9 member price
birds eye steamfresh vegetables,,$1.99 member price
stouffer's large size entrée,,$4.49 ea when you buy 2 member price
totino's party pizza,,2 for $6 member price
tai pei frozen entrée,,$3.79 member price
p.f. chang's dinner bowl,,$3.99 ea member price when you buy 2
starbucks coffee,,$22.99 member price
bigelow tea,,2 for $6 member price
ocean spray cranberry juice cocktail,,2 for $7 member price
teddie peanut butter,,$6.99 member price
progresso soup,2 get 1 free when you buy 3 member price,
bertolli pasta sauce,,$2.99 member price
signature select® pasta,,$1.99 member price
starkist chunk light tuna,,4 for $5 member price
golden star jasmine rice,,$23.99 member price
rosarita refried beans,,$3.49 member price
panda express sauce,,$3.99 member price
kinder's dry rub,,$3.99 ea member price when you buy 2
mt. olive relish 16.7-oz. star vinegar 12-oz.,,$3.49 member price
star extra virgin olive oil,,$11.49 member price
ghirardelli brownie or cookie mix,,$4.49 member price
red lobster biscuit mix 11.36-oz. marie callender's corn bread mix 16-oz.,,$3.49 member price
quaker giant size cereal,,$5.99 member price
welch's fruit snacks,,2 for $7 member price
quaker instant oatmeal,,2 for $6 member price
quest protein chips 1.1-oz. bar 2.12-oz.,,2 for $5 member price
nabisco family size oreo cookies,,$3.49 ea member price when you buy 2
dot's pretzels,earn 4x points,$6.49 member price
belvita breakfast biscuits 5 to 8.8-oz. nabisco newtons cookies 10-oz.,,$3.99 ea member price when you buy 2
"nabisco chips ahoy! cookies 9.5 to 13-oz. kellogg's club, town house or toasteds crackers 8.7 to 13.8-oz.",,$2.99 ea member price when you buy 2
hershey's valentine's heart,,$5.49 member price
coca-cola,,2 for $6 when you buy 2 member price
signature select® refreshe® purified drinking water,,2 for $7 member price
celsius sparkling energy,earn 2x points,2 for $4 member price
signature select® trash bags,earn 2x points,$8.99 member price
kleenex facial tissue,,2 for $4 member price
hefty slider bags,,$4.99 member price
jinx dry dog food,,$13.99 member price
busy bone dog treats,,$10.99 member price
blue buffalo wilderness dry cat food,,$22.99 member price
tidy cat litter,,$8.99 member price
dawn dishwashing soap 16.2 to 18-oz. ez squeeze 12.2 to 14.7-oz.,,$2.99 ea
mars king size bar,,2 for $4 member price
nerds gummy clusters or trolli crawlers,,$4.49 member price
easter squishmallow,25% off,
life savers or skittles gummies,,2 for $5 member price
hershey's xl or cadbury candy bar,,$2.99 member price
"easter melamine dinnerware, bowl or divided plate",,2 for $4 member price
hershey's share size candy,,$5.49 member price
lindt lindor chocolate truffles,,$6.49 member price
yankee candle or village spring candle,25% off,
brach's easter jelly beans,,2 for $7 member price
hi-chew candy,,$7.99 member price
hershey's party size candy,,$13.99 member price
bendon coloring book,,$5.49 member price
signature select® bubbles,,starting at $1 ea member price
signature select® chalk,,starting at $2.50 member price
nature's truth or signature care® vitamins,1 get 1 free member price when you buy 2,
open nature® plant protein powder,,$19.99 member price
gomacro,,2 for $5 member price
lärabar,,$9.99 member price
muscle milk plant or pro series protein,,$9.99 member price
rxbar,,$9.99 member price
ensure max,,$15.99 member price
clif multi-pack,,$12.99 member price
"clif, luna or builders",,3 / $4 when you buy 3
pharmacy,,
pharmacy,,
ogx shampoo or conditioner,,$9.99 member price
dove bar soap,,$11.99 member price
signature care® hand soap,,2 for $3 member price
mrs. meyer's hand soap,,$4.99 member price
therabreath oral rinse,,$9.99 member price
carefree pantiliners,,$4.99 member price
johnson & johnson baby care,earn 4x points,$5.99 member price
e. l. f. cosmetics,,$10.99
"schick disposable extreme, hydro silk, quattro or skintimate razors",$4 off member price,
colgate oral care or softsoap refill,$2.50 off member price,
aveeno body lotion,earn 4x points,$9.99 member price
happy tot pouch,,3 for $5 member price
o organics® baby food pouch,,4 for $5 member price
"huggies little movers, little snugglers, snug & dry or overnites",earn 4x points,$28.99 member price
neutrogena makeup remover wipes,earn 4x points,$7.99 member price
mr. clean magic erasers,,$6.99 member price
swiffer mopping or dusting refill,,$11.99 member price
febreze air or plug warmer,,$4.49 member price
listerine mouthwash,earn 4x points,$7.99 member price
dawn 70-oz. dish soap,get 1 dawn 3-pack sponge free when you buy 1 dawn 70-oz. dish soap,
gain laundry detergent,free gain flings 16-ct. when you buy 1 gain laundry detergent,$15.99 member price
lysol disinfecting wipes or spray,,$5.99 ea
children's tylenol or motrin pain relief,earn 4x points,$10.99 member price
air wick refills,,$5.99 ea
lysol air sanitizer,,$6.99 ea
"clorox bathroom cleaner, disinfecting wipes or clean up",,$5.49 ea
tylenol pain relief,earn 4x points,$15.99 member price
ge cync indoor smart light bulbs,spend $20 save $5 with your member account,
goodcook cooking gadgets,1 get 1 50% off member price,
signature select® easter paper goods,,2 for $3 member price
zyrtec allergy relief,earn 4x points,$24.99 member price
gas rewards,save with gas rewards up to 20¢/gallon† | up to $1 /gallon†,
fresh pass,5% off,
